hospital_name,county,level,ownership
Maisha Poa Dispensary,Nairobi,Level 2,Private Practice - General Practitioner
Kaka Medical Centre (Race Course Rd),Nairobi,Level 2,Private Practice - General Practitioner
Pharmat Health Care,Nairobi,Level 2,Private Practice - Unspecified
Focus Outreach Medical Mission,Nairobi,Level 2,Private Practice - Clinical Officer
Gitanga Medical Centre,Nairobi,Level 2,Private Enterprise (Institution)
Kangemi Gichagi Dispensary,Nairobi,Level 2,Private Practice - Clinical Officer
Dr Praful M Sanghani,Nairobi,Level 2,Private Practice - General Practitioner
Central Park Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Baraka Medical Cenre,Nairobi,Level 2,Private Practice - General Practitioner
Wide Medical Services,Nairobi,Level 2,Private Practice - General Practitioner
Dr J L Amugugaba Clinic (Nairobi),Nairobi,Level 2,Private Practice - General Practitioner
Aculaser Institute,Nairobi,Level 3,Private Enterprise (Institution)
Medisafe Medical Labaratoty,Nairobi,Level 2,Private Practice - General Practitioner
Afya Bora Health Care,Nairobi,Level 2,Non-Governmental Organizations
Kawangware Health Centre,Nairobi,Level 2,Private Enterprise (Institution)
Mafra Clinic,Nairobi,Level 2,Non-Governmental Organizations
Local Aid Organization,Nairobi,Level 2,Private Enterprise (Institution)
Professional Diagnostic Centre (Nairobi),Nairobi,Level 2,Private Practice - General Practitioner
Child Doctor Kenya,Nairobi,Level 2,Private Enterprise (Institution)
Latema Medical Services (Nairobi),Nairobi,Level 2,Private Practice - General Practitioner
Nyalego Medical Clinic,Nairobi,Level 2,Private Practice - Nurse / Midwifery
Premier Laboratory (Nairobi),Nairobi,Level 2,Private Practice - General Practitioner
Westlands Medical Centre,Nairobi,Level 2,Non-Governmental Organizations
Odeon Medical Centre (Nairobi),Nairobi,Level 2,Private Practice - General Practitioner
Victory Medicare,Nairobi,Level 2,Private Practice - General Practitioner
Jellin Medical Clinic,Nairobi,Level 2,Private Practice - Nurse / Midwifery
Ignane Health Centre,Meru,Level 2,Ministry of Health
Kamili Organization,Nairobi,Level 2,Non-Governmental Organizations
Rafiki Medical Clinic (Westlands),Nairobi,Level 2,Private Practice - General Practitioner
Credible Health Centre,Nairobi,Level 2,Private Practice - General Practitioner
Abby Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Philis Medical Laboratory,Nairobi,Level 2,Private Practice - General Practitioner
Medanta Africare,Nairobi,Level 2,Private Practice - General Practitioner
Lumumba Medical Clinic,Nairobi,Level 2,Private Practice - Clinical Officer
Dr Parmar Medical Clinic (Nairobi),Nairobi,Level 2,Private Practice - General Practitioner
Nile Medical Care,Nairobi,Level 2,Private Practice - Clinical Officer
Millenium Dental Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Nairobi Outreach Services Trust,Nairobi,Level 2,Private Practice - General Practitioner
Upendo Clinic Makadara,Nairobi,Level 2,Private Practice - Nurse / Midwifery
Rinah Health Consultants,Nairobi,Level 2,Private Practice - General Practitioner
Maendereo Medical Clinic,Nairobi,Level 2,Private Practice - Nurse / Midwifery
Hamza Medical Centre,Nairobi,Level 2,Private Practice - Clinical Officer
Iom Wellness Clinic,Nairobi,Level 2,Non-Governmental Organizations
Corner Hse Med Laboratory,Nairobi,Level 2,Private Practice - General Practitioner
Imani Health Servises,Nairobi,Level 3,Private Practice - Nurse / Midwifery
Dr Jemmah & Nyawange Med Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Access Afya,Nairobi,Level 2,Private Practice - General Practitioner
Remer Medical Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Orient Medical Care,Nairobi,Level 2,Private Practice - Nurse / Midwifery
Metropolitan Dr Plaza,Nairobi,Level 2,Private Practice - General Practitioner
Avenue Health Care (Makadara),Nairobi,Level 2,Private Practice - General Practitioner
Al-Ramah Healthcare,Garissa,Level 2,Private Practice - Nurse / Midwifery
Garissa Pride Healthcare,Garissa,Level 2,Private Practice - Nurse / Midwifery
Iqlas Medical Clinic,Garissa,Level 2,Private Practice - Clinical Officer
Innercore Medical Clinic,Nairobi,Level 2,Private Practice - Unspecified
Aga Khan Greenspam Medical Centre,Nairobi,Level 2,Private Practice - Unspecified
Communal Oriented Service International Centre,Nairobi,Level 3,Private Practice - General Practitioner
Eastern Medical Clinic,Nairobi,Level 2,Private Practice - Unspecified
Primed Medical Services Komarock,Nairobi,Level 2,Private Practice - Unspecified
Connections Medical Clinic,Nairobi,Level 2,Private Practice - Unspecified
Scion Healthcare Ltd Clinic,Nairobi,Level 2,Private Practice - Unspecified
St John Medical Centre,Nairobi,Level 2,Private Practice - Unspecified
Provide International Hospital Mukuru,Nairobi,Level 3,Non-Governmental Organizations
Jamii Medical Clinic Mukuru,Nairobi,Level 2,Private Practice - Unspecified
Santi Meridian Health Care,Nairobi,Level 2,Private Practice - General Practitioner
Trocare Medical Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Exodus Community Health Care,Nairobi,Level 2,Private Practice - Unspecified
Mwera Medical Clinic,Nairobi,Level 2,Private Practice - Clinical Officer
Abra Health Services,Nairobi,Level 2,Private Practice - General Practitioner
Primed Medical Centre,Nairobi,Level 2,Private Practice - Clinical Officer
Corban Health Care,Nairobi,Level 2,Private Practice - Nurse / Midwifery
St Maurice Medical Services,Nairobi,Level 2,Private Practice - Nurse / Midwifery
Embakasi Medical Centre,Nairobi,Level 2,Private Practice - Clinical Officer
Kings Cross Medical Clinic,Nairobi,Level 2,Private Practice - Nurse / Midwifery
PCEA Kayole Parish Health Centre,Nairobi,Level 2,Christian Health Association of Kenya
The Mater Embakasi Clinic,Nairobi,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Jamii Yadah Medical Centre,Kajiado,Level 2,Private Practice - General Practitioner
Mariakani Cottage Hospital Utawala Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Kiamuthambi Dispensary,Kirinyaga,Level 2,Ministry of Health
Swop Outreach Project Clinic,Nairobi,Level 2,Non-Governmental Organizations
Bans Optical (Nairobi),Nairobi,Level 2,Private Practice - Clinical Officer
Goldmed Chemists & Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Dr Parmar Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Dr George Munene Medical Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Parkroad Dental Clinic (Ngara),Nairobi,Level 2,Private Practice - General Practitioner
Dr Nzuki Hildapaed Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Starehe Boys Centre School Clinic,Nairobi,Level 2,Academic
Iran Medical Clinic (Ngara),Nairobi,Level 2,Private Practice - General Practitioner
Dr M S Saroya Medical Clinic (Nairobi),Nairobi,Level 2,Private Practice - General Practitioner
Dr Maina Skin Clinic (Ngara),Nairobi,Level 2,Private Practice - General Practitioner
Dr Chaundry Dental Services (Nairobi),Nairobi,Level 2,Private Practice - General Practitioner
Dr Musili Clinic (Afya Centre-Nairobi),Nairobi,Level 2,Private Practice - General Practitioner
Acacia Medical Centre (Nairobi),Nairobi,Level 2,Private Practice - General Practitioner
Betta Health Care,Meru,Level 2,Private Enterprise (Institution)
Isiolo Medical Centre,Isiolo,Level 2,Private Practice - General Practitioner
Maua Diagnostic Centre,Meru,Level 2,Laboratory Technician/Technologist
Iqra Medical Centre,Isiolo,Level 2,Private Practice - General Practitioner
Quality Health Care Clinic (Naivasha),Nakuru,Level 2,Private Practice - Nurse / Midwifery
Bridging Out-Patient,Nairobi,Level 2,Private Practice - General Practitioner
Annex Health Care,Nairobi,Level 2,Private Practice - General Practitioner
Max Family Health Care,Nairobi,Level 2,Private Practice - General Practitioner
Rosadett Medical Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Sharifik Medical Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Unity Health Care,Nairobi,Level 2,Private Practice - General Practitioner
Jozi Medical Centre,Nairobi,Level 2,Private Practice - General Practitioner
Afyamax Medical & Centre Dental,Nairobi,Level 2,Private Practice - General Practitioner
Meridian Medical Centre (Loita Street),Nairobi,Level 2,Private Practice - General Practitioner
Swop Clinic,Nairobi,Level 2,Non-Governmental Organizations
Social Service League (Nairobi ),Nairobi,Level 2,Private Enterprise (Institution)
Crescent Medical Aid (Jamia Towers),Nairobi,Level 2,Supreme Council for Kenya Muslims
Sosio Medical Clinic,Bungoma,Level 2,Private Practice - Clinical Officer
Kapsokwony Medicare,Bungoma,Level 2,Private Practice - Clinical Officer
Maraa Catholic Dispensary,Meru,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Mt Elgon Clinic,Bungoma,Level 2,Private Practice - Nurse / Midwifery
Ravine Medical and ENT Clinic,Baringo,Level 2,Private Practice - Clinical Officer
Royolk Medical Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Success Medical Services,Nairobi,Level 2,Private Practice - General Practitioner
St Teresa Medical Clinic ( Zimmerman),Nairobi,Level 2,Private Practice - General Practitioner
Sanitas Lotus Medical Centre,Nairobi,Level 2,Private Practice - General Practitioner
Zimma Health Care,Nairobi,Level 2,Private Practice - General Practitioner
Delight Chemist & Lab,Nairobi,Level 2,Private Practice - General Practitioner
The Arcade Medical Centre,Nairobi,Level 2,Private Practice - General Practitioner
Horeb Medical Clinic ( Hunters),Nairobi,Level 2,Private Practice - General Practitioner
Radiant Hosp Kasarani,Nairobi,Level 2,Private Practice - General Practitioner
Kamwitha Medcal Centre,Nairobi,Level 2,Private Practice - General Practitioner
Kibisem Dispensary,Nandi,Level 2,Ministry of Health
Nandi Hills Medicare Clinic,Nandi,Level 2,Private Practice - General Practitioner
Reddys Medical Clinic,Kakamega,Level 2,Private Practice - Nurse / Midwifery
Alphine Dental Centre (Kencom Hse),Nairobi,Level 2,Private Practice - General Practitioner
Supreme Health Care (Ktda House-Nairobi),Nairobi,Level 2,Private Practice - General Practitioner
Abdallah Dental Clinic (Barclays Plaza-Nairobi),Nairobi,Level 2,Private Practice - General Practitioner
Plaza X-Ray Services (Re-Insurance Plaza-Nairobi),Nairobi,Level 2,Private Enterprise (Institution)
Sunshine Medical & Diagnostic Centre (Nairobi),Nairobi,Level 2,Private Practice - General Practitioner
Isinya Medical Clinic,Kajiado,Level 2,Private Practice - Nurse / Midwifery
Manna Medical Clinic Isinya,Kajiado,Level 2,Private Practice - Nurse / Midwifery
Aldai Medical Services,Nandi,Level 2,Private Practice - Clinical Officer
Nasaruni Medical Clinic,Kajiado,Level 2,Private Practice - General Practitioner
Ndonyo Medical Clinic (Naivasha Kwa Muya),Nakuru,Level 2,Private Practice - General Practitioner
Aga Khan University Hospital Clinic (Naivasha),Nakuru,Level 2,Private Enterprise (Institution)
Light Hospital,Nakuru,Level 4,Private Practice - General Practitioner
Index Medical Services,Nairobi,Level 2,Private Practice - General Practitioner
St Michael Community Nursing Home,Nairobi,Level 2,Private Practice - General Practitioner
Soin Health Care - Mfangano Street),Nairobi,Level 2,Private Practice - General Practitioner
Kimathi Street Medical Centre,Nairobi,Level 2,Private Practice - General Practitioner
Elatiai Health Ccare Services Medical Clinic,Kajiado,Level 2,Private Practice - General Practitioner
Family Care Medical Centre Eye Clinic,Meru,Level 2,Private Practice - Medical Specialist
Imarba Dispensary,Kajiado,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Serotec Medical Clinic,Makueni,Level 2,Private Practice - General Practitioner
Eldama Ravine Medical Centre,Baringo,Level 2,Private Practice - Clinical Officer
Nazareth Medical Clinic,Baringo,Level 2,Private Practice - Clinical Officer
Eldama Ravine Nursing Home,Baringo,Level 2,Private Practice - Clinical Officer
Makindu Nursing Home,Makueni,Level 4,Private Practice - General Practitioner
Mercy Medical Services,Nairobi,Level 2,Private Practice - General Practitioner
Juja Road Hospital (Nairobi),Nairobi,Level 4,Private Enterprise (Institution)
Lad Nan Hospital,Nairobi,Level 4,Private Enterprise (Institution)
Shalom Medical Clinical,Baringo,Level 2,Private Practice - Clinical Officer
Gertrudes Chiildren Clinic (Pangani),Nairobi,Level 2,Private Enterprise (Institution)
Kam Health Services,Nairobi,Level 2,Private Practice - General Practitioner
Kam ENT Services,Nairobi,Level 2,Private Practice - General Practitioner
Sasa Centre-Ngara,Nairobi,Level 2,Non-Governmental Organizations
Maisha House VCT (Noset),Nairobi,Level 2,Non-Governmental Organizations
Baraka Medical Clinic (Makindu),Makueni,Level 2,Private Practice - Clinical Officer
Makamu Medical Clinic,Tharaka-Nithi,Level 2,Private Practice - Nurse / Midwifery
Mfariji Medical Clinic,Kitui,Level 2,Private Practice - Nurse / Midwifery
Hunters Medical Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Josnik Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Ramah Medical Clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Kaproret Dispensary,Bomet,Level 2,Private Enterprise (Institution)
Isiolo Central Medical Clinic,Isiolo,Level 2,Private Practice - Clinical Officer
Peace Medical Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Imani Medical Clinic ( Mathare A 4),Nairobi,Level 2,Private Practice - General Practitioner
Wayside Medical & Dental Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Tazama Dentel Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Kiptenden Dspensary (Nandi Central),Nandi,Level 2,Ministry of Health
St Louis Community Hospital,Nairobi,Level 2,Private Practice - General Practitioner
Narzareth Medical Services,Nairobi,Level 2,Private Practice - General Practitioner
Hope Medical Clinic ( Githurai),Nairobi,Level 2,Private Practice - General Practitioner
Mother & Child Meridian & Lab Services,Nairobi,Level 2,Private Practice - General Practitioner
Stars General Medical Clinic,Nairobi,Level 2,Private Practice - General Practitioner
Prestige Health Centre (Zimerman),Nairobi,Level 2,Private Practice - General Practitioner
Emanuel Medical Clinic,Kajiado,Level 2,Private Practice - General Practitioner
Ilbissil Medical Clinic,Kajiado,Level 2,Private Practice - General Practitioner
Olepolos Medical Clinic,Kajiado,Level 2,Private Practice - General Practitioner
Oloimirmir Dispensary,Kajiado,Level 2,Ministry of Health
Devki Staff Clinic (Ruiru),Kiambu,Level 2,Company Medical Service
Githurai Health Care and Dental Hospital,Kiambu,Level 2,Private Practice - Clinical Officer
Maua Medical Clinic,Meru,Level 3,Private Practice - Clinical Officer
Milimani Eye Clinic,Meru,Level 2,Private Practice - Clinical Officer
Maua East Medical Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Mitume Dispensary Kitale,Trans Nzoia,Level 2,Ministry of Health
Malabot Dispensary,Marsabit,Level 2,Ministry of Health
Sarimo Medical Centre,Marsabit,Level 2,Private Practice - Clinical Officer
Loitokitok Medicare Centre,Kajiado,Level 2,Private Practice - General Practitioner
Mawenzi Care Clinics,Kajiado,Level 2,Private Practice - General Practitioner
Mosoriot Clinic,Nandi,Level 2,Private Practice - General Practitioner
Cheptarit Med Clinic,Nandi,Level 2,Private Practice - General Practitioner
The Hanna Medicare Centre,Nandi,Level 2,Private Practice - General Practitioner
Moso Cheptarit Medical Clinic,Nandi,Level 2,Private Practice - General Practitioner
Burjon Dispensary,Mandera,Level 2,Ministry of Health
Peoples Medical Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Dawa Mart Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Mwema Health Care Clinic,Meru,Level 2,Private Practice - General Practitioner
Current Medical Ciinic,Meru,Level 3,Private Practice - Clinical Officer
Mutuati Catholic Hospital,Meru,Level 3,Kenya Episcopal Conference-Catholic Secretariat
Ngumba Medical Centre,Nairobi,Level 3,Private Enterprise (Institution)
St Marks Kigari Teachers College Dispensary,Embu,Level 2,Academic
Tender Loving Care CFW Clinic,Embu,Level 2,Private Practice - Nurse / Midwifery
By Faith Medical Centre,Embu,Level 2,Private Practice - Nurse / Midwifery
Joy Clinic Manyatta,Embu,Level 2,Private Practice - Nurse / Midwifery
Kathangari CFW Clinic,Embu,Level 2,Private Practice - Nurse / Midwifery
Nguviu Boys High School Clinic,Embu,Level 2,Academic
CFW Mbuvori Clinic,Embu,Level 2,Private Practice - Nurse / Midwifery
CDF Kiriari Dispensary,Embu,Level 2,Ministry of Health
Aga Khan University Hospital - Embu,Embu,Level 2,Private Practice - Medical Specialist
Makkah Medical Clinic and Lab,Garissa,Level 2,Private Practice - Clinical Officer
Dr Mushtaq Muhammad,Embu,Level 2,Private Practice - Medical Specialist
Madina Health Care Clinic,Garissa,Level 2,Private Practice - Clinical Officer
Frontier Health Services,Garissa,Level 2,Private Practice - Nurse / Midwifery
Durdur Medical Clinic and Lab,Garissa,Level 2,Private Practice - Clinical Officer
County Medical Clinic and Lab Services,Garissa,Level 2,Private Practice - Clinical Officer
Amaal Annex Nursing,Mandera,Level 3,Private Practice - Nurse / Midwifery
Bulla Mpya Nursing Home,Mandera,Level 3,Private Practice - Nurse / Midwifery
Rainbow Clinic,Nairobi,Level 2,Private Enterprise (Institution)
Millenium Clinic,Mandera,Level 2,Private Practice - General Practitioner
Digfer Nursing Home,Mandera,Level 3,Private Practice - Nurse / Midwifery
Naretisho Dispensary,Kajiado,Level 2,Ministry of Health
Chemamul Dispensary (Tinderet),Nandi,Level 2,Ministry of Health
North Star Alliance Wellness Centre,Uasin Gishu,Level 2,Non-Governmental Organizations
Gynocare Centre Maternity Home,Uasin Gishu,Level 4,Private Practice - Medical Specialist
Sawa Makutano Medical Clinic,Machakos,Level 2,Private Practice - Nurse / Midwifery
Sawa Ikombe Medical Clinic,Machakos,Level 2,Private Practice - Nurse / Midwifery
Comet Medical Clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Highway Medical Clinic Yatta,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Katangi Medical Clinic,Machakos,Level 2,Private Practice - Nurse / Midwifery
Kyandu Medical Clinic,Machakos,Level 2,Private Practice - Clinical Officer
St Michael Medical Clinic -Kangundo,Machakos,Level 2,Private Practice - Clinical Officer
Imani Medical Clinic Yatta,Machakos,Level 2,Private Practice - Nurse / Midwifery
Laare Maternity,Meru,Level 2,Private Practice - Nurse / Midwifery
Nyota Njema Medical Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Mwanainchi Medical Clinic,Machakos,Level 2,Private Practice - Nurse / Midwifery
Kamkomani Dispensary,Kilifi,Level 2,Ministry of Health
Machungulu Dispensary,Meru,Level 2,Ministry of Health
Mcf Ndalani,Machakos,Level 2,Private Practice - Nurse / Midwifery
Nkirina Medical Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Athirunjine Runjine Dispensary,Meru,Level 2,Ministry of Health
MCF Yatta,Machakos,Level 2,Ministry of Health
Lanet Kiondoo Medical Clinic,Nakuru,Level 2,Private Practice - Clinical Officer
Mercy Medical Clinic (Ntunene),Meru,Level 2,Private Practice - Nurse / Midwifery
Dr Thuo's Clinic Kitengela,Kajiado,Level 2,Private Practice - General Practitioner
Meds Pharmaciticals Ongata Rongai,Kajiado,Level 2,Private Practice - General Practitioner
Fountain Healthcare,Uasin Gishu,Level 3,Private Practice - General Practitioner
Prestige Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Choice Health Care,Garissa,Level 2,Private Practice - Clinical Officer
Bulla Medina Clinic,Garissa,Level 2,Private Practice - Clinical Officer
Bismillahi Medical Clinic (Garissa),Garissa,Level 2,Private Practice - Nurse / Midwifery
Better Medical Clinic (Township),Garissa,Level 2,Private Practice - Nurse / Midwifery
Al Qudus Clinic,Garissa,Level 2,Private Practice - Nurse / Midwifery
Afwene Clinic,Garissa,Level 2,Private Practice - Clinical Officer
New Southlands X-Ray Services,Meru,Level 2,Private Practice - General Practitioner
Kapsongoi Dispensary,Kericho,Level 2,Private Enterprise (Institution)
Chebon Medical Clinic,Bungoma,Level 2,Private Practice - Nurse / Midwifery
Konton Dispensary,Wajir,Level 2,Ministry of Health
Kathungi Dispensary,Kitui,Level 2,Ministry of Health
Mangina Dispensary,Kitui,Level 2,Ministry of Health
Kitundu Dispensary (Katulani District),Kitui,Level 2,Ministry of Health
Boarder Medical Clinic Namanga,Kajiado,Level 2,Private Practice - General Practitioner
Kirimampio Dispensary,Meru,Level 2,Ministry of Health
Uzima Medical Clinic (Meru),Meru,Level 2,Private Practice - Clinical Officer
Mai Mahiu Maternity and Hospital,Nakuru,Level 3,Private Practice - General Practitioner
Family Care Doctor's Plaza,Meru,Level 2,Private Practice - General Practitioner
Dom Spark,Meru,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Meru Hospice,Meru,Level 2,Non-Governmental Organizations
Kibirichia Health & Laboratory Services,Meru,Level 2,Private Practice - Nurse / Midwifery
Twins Bell,Meru,Level 2,Private Practice - Nurse / Midwifery
Neema Afya Centre,Meru,Level 2,Private Practice - Nurse / Midwifery
Afya Medical Laboratory,Meru,Level 2,Laboratory Technician/Technologist
Sr Rhoda Medical Clinic,Meru,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Ruiri MCK Medical Centre,Meru,Level 2,Christian Health Association of Kenya
Hope Medical Laboratory (Ruiru/rwawera),Meru,Level 2,Laboratory Technician/Technologist
Timau Dental Clinic,Meru,Level 2,Private Practice - General Practitioner
Tropical Medical Centre,Meru,Level 2,Private Practice - Nurse / Midwifery
Batian Flowers Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Northstar Alliance Wellness Centre (Mai Mahiu),Nakuru,Level 2,Non-Governmental Organizations
Gundua Health Centre,Meru,Level 2,Private Practice - Nurse / Midwifery
St James Clinic,Kitui,Level 2,Private Practice - Nurse / Midwifery
Nazarene Medical Clinic (Kitui West),Kitui,Level 2,Other Faith Based
Abby Health Services,Kitui,Level 2,Private Practice - General Practitioner
Lemoru Trinity,Uasin Gishu,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Sala Health center,Mandera,Level 3,Ministry of Health
Meru Funeral Home,Meru,Level 2,Private Practice - General Practitioner
Heshima Medical Clinic-Masinga,Machakos,Level 2,Private Practice - Nurse / Midwifery
Precious Life Health Services,Meru,Level 2,Private Practice - General Practitioner
Kiatineni Dispensary,Machakos,Level 2,Ministry of Health
Royal Medical Clinic (Meru),Meru,Level 2,Private Practice - Nurse / Midwifery
Dental Clinic Dr Mwiti Jm,Meru,Level 2,Private Practice - General Practitioner
Prime Dental Clinic,Meru,Level 2,Private Practice - General Practitioner
Minoptic Eye Clinic,Meru,Level 2,Private Practice - Clinical Officer
Meru Gynecologist Centre,Meru,Level 2,Private Practice - Medical Specialist
The Nairobi Hospital Out-Patient Centre Galeria,Nairobi,Level 2,Private Enterprise (Institution)
Qarsadamu Dispensary,Mandera,Level 2,Ministry of Health
KHE Farm Dispensary,Laikipia,Level 2,Private Enterprise (Institution)
St Annes Medical Clinic Ongata Rongai,Kajiado,Level 2,Private Enterprise (Institution)
Dr Ndanya Medical Clinic,Laikipia,Level 2,Private Enterprise (Institution)
Tumaini Clinic Voi,Taita Taveta,Level 2,Ministry of Health
Ongata Rongai X-Ray Services,Kajiado,Level 2,Private Practice - General Practitioner
Voi Medical Clinix,Taita Taveta,Level 2,Private Practice - General Practitioner
Voi Dental,Taita Taveta,Level 2,Private Practice - General Practitioner
Bahati Medical Clinic (West Pokot),West Pokot,Level 2,Private Practice - Clinical Officer
Lilyon Clinical Services,West Pokot,Level 2,Private Practice - Clinical Officer
Sere Clinic,Taita Taveta,Level 2,Private Practice - Nurse / Midwifery
Avenue Health Care Ongata Rongai,Kajiado,Level 2,Private Practice - General Practitioner
Garlands Medical Centree,Kajiado,Level 2,Private Practice - General Practitioner
New Age VCT,Mombasa,Level 2,Private Enterprise (Institution)
Kawongo Medical Centre,Kitui,Level 2,Private Enterprise (Institution)
Amani Medical Clinic (Meru),Meru,Level 2,Private Practice - Nurse / Midwifery
District Public Health Office (Meru),Meru,Level 2,Ministry of Health
Meru Cytology Centre,Meru,Level 2,Private Practice - Medical Specialist
CCM Kaare,Tharaka-Nithi,Level 2,Private Practice - Nurse / Midwifery
Clinix Health Care Limited (Meru),Meru,Level 2,Company Medical Service
Tudor Healthcare Services (Mikindani),Mombasa,Level 2,Private Practice - Clinical Officer
Dalsan Medical Clinic,Trans Nzoia,Level 2,Private Practice - Clinical Officer
Word of Faith Church Dispensary,Mombasa,Level 2,Christian Health Association of Kenya
Nyali Childrens Hospital,Mombasa,Level 3,Private Practice - General Practitioner
Elim Dental Clinic,Kajiado,Level 2,Private Practice - General Practitioner
Meru X-Ray Services,Meru,Level 2,Private Practice - General Practitioner
Dr Rajesh Gandhi Clinic,Meru,Level 2,Private Practice - General Practitioner
Ngong Medicare Clinic,Kajiado,Level 2,Private Practice - Clinical Officer
Miliki Afya,Kajiado,Level 3,Private Enterprise (Institution)
St Anns Medical Clinic,Kajiado,Level 2,Private Practice - Nurse / Midwifery
Providenve Health Clinic,Kajiado,Level 2,Private Enterprise (Institution)
Melchizedek Hospital Ngong Clinic,Kajiado,Level 2,Private Enterprise (Institution)
Beula's Clinic,Kajiado,Level 2,Private Practice - Nurse / Midwifery
Sunshine Medical Clinic,Tharaka-Nithi,Level 2,Private Practice - Clinical Officer
Bethsaida Grandcure Medical Clinic,Tharaka-Nithi,Level 2,Private Practice - Nurse / Midwifery
Mikeu PCEA Medical Centre,Nakuru,Level 2,Other Faith Based
Women Initiative Health Services,Garissa,Level 2,Private Practice - Clinical Officer
Warsan Health Services,Garissa,Level 2,Private Practice - Clinical Officer
Tulah Medical Services,Kajiado,Level 2,Private Practice - General Practitioner
Towfiq Medical Clinic,Garissa,Level 2,Private Practice - Clinical Officer
Tawaheed Community Medical Clinic,Garissa,Level 2,Private Practice - Clinical Officer
Tawaheed Community Nursing Home,Garissa,Level 3,Private Practice - Clinical Officer
Tawakal Medical Clinic,Garissa,Level 3,Private Practice - Clinical Officer
Solution Medical Clinic,Garissa,Level 2,Private Enterprise (Institution)
Alpha Medical Clinic Mile Tisa,Kajiado,Level 2,Private Practice - General Practitioner
Safa Medical Centre,Garissa,Level 2,Private Practice - Nurse / Midwifery
Mwananchi Clinic,Garissa,Level 2,Private Practice - Clinical Officer
Medina Hospital,Garissa,Level 4,Private Enterprise (Institution)
Chonesus Clinic,Nairobi,Level 2,Christian Health Association of Kenya
Elele Dispensary,Mandera,Level 2,Ministry of Health
Tahidi Nursing Home,Kitui,Level 3,Private Practice - Clinical Officer
Patrona Medical Services,Machakos,Level 2,Private Practice - General Practitioner
Swiss Cottage Hospital,Kilifi,Level 3,Private Enterprise (Institution)
Amina Medical Clinic,Kilifi,Level 2,Private Practice - Nurse / Midwifery
St Trizah Medical Clinic,Kiambu,Level 2,Private Enterprise (Institution)
Zahri Medical Clinic,Kilifi,Level 2,Private Practice - Clinical Officer
Mephi Medical Clinic,Kilifi,Level 2,Private Practice - Nurse / Midwifery
Kaplelach Clinic,West Pokot,Level 2,Private Practice - Nurse / Midwifery
Kamuskut Clinic,West Pokot,Level 2,Private Practice - Clinical Officer
Blue Nile Medical Clinic,Kilifi,Level 2,Private Practice - Nurse / Midwifery
Highway Medical Clinic (Pokot Central),West Pokot,Level 2,Private Practice - Nurse / Midwifery
Ortum Central Clinic,West Pokot,Level 2,Private Practice - Clinical Officer
Kapkres Medical Clinic,West Pokot,Level 2,Private Practice - Clinical Officer
Murpus Medical Clinic,West Pokot,Level 2,Private Practice - Nurse / Midwifery
Chepkono Medical Clinic,West Pokot,Level 2,Private Practice - Nurse / Midwifery
Medina Diagnostic,Garissa,Level 3,Private Enterprise (Institution)
Iftin Medical Clinic,Garissa,Level 2,Private Enterprise (Institution)
Hilwa Pharmacy and Clinic,Garissa,Level 2,Private Practice - Nurse / Midwifery
Gule Medical Clinic,Garissa,Level 2,Private Practice - Clinical Officer
Gatwell/Lab Medical Clinic,Garissa,Level 2,Private Practice - Nurse / Midwifery
Emirates Medical Clinic,Garissa,Level 2,Private Practice - Clinical Officer
Dhanun Clinic,Garissa,Level 2,Private Practice - General Practitioner
Bulla Hagar Clinic,Garissa,Level 2,Private Practice - Nurse / Midwifery
