hospital_name,county,level,ownership
Patience CFW Clinic,Embu,Level 2,Non-Governmental Organizations
Tumaini CFW Clinic,Embu,Level 2,Non-Governmental Organizations
Africare Limited Eastleigh,Nairobi,Level 3,Private Practice - Unspecified
Mtwapa drop in and resource centre,Kilifi,Level 2,Non-Governmental Organizations
Masii Medical Centre,Machakos,Level 2,Private Practice - Clinical Officer
Mwangea community Dispensary,Kwale,Level 2,Ministry of Health
Unicure Medical Centre,Kirinyaga,Level 2,Private Practice - General Practitioner
Endoscopy and Diagnostic Center Kerugoya,Kirinyaga,Level 2,Private Practice - Medical Specialist
Professor Wasuna Clinic,Nairobi,Level 2,Private Practice - Medical Specialist
Githima Disp,Nyeri,Level 2,Ministry of Health
machesa dispensary,Wajir,Level 2,Public Institution
Kapkitony,Baringo,Level 2,Ministry of Health
Lokorkor Dispensary,Turkana,Level 2,Ministry of Health
Lobulono Dispensary,Turkana,Level 2,Public Institution
Fountain Healthcare Ltd Bungoma,Bungoma,Level 3,Private Practice - General Practitioner
CENTRAL MEDICAL CLINIC,Kisii,Level 2,Private Practice - Clinical Officer
Sirende medical clinic,Trans Nzoia,Level 2,Private Practice - Clinical Officer
Primecare medical centre,Trans Nzoia,Level 2,Private Practice - Clinical Officer
Bliss CVS Healthcare Limited Kapsabet,Nandi,Level 2,Private Practice - General Practitioner
Marysyl Medical Clinic,Kakamega,Level 2,Private Practice - Clinical Officer
Africare Ltd Karen Clinic,Nairobi,Level 2,Private Company
Koykoy Dispensary,Trans Nzoia,Level 2,Ministry of Health
Chemichem Dispensary,Trans Nzoia,Level 2,Ministry of Health
MAISHA HEALTH CARE CLINIC,Homa Bay,Level 2,Non-Governmental Organizations
Rafiki Health Centre,Trans Nzoia,Level 2,Ministry of Health
Nzoia Medical Centre Chwele,Bungoma,Level 3,Private Enterprise (Institution)
Oltumusoi Dispensary,Narok,Level 2,Ministry of Health
Nzioa Medical Centre Chwele,Bungoma,Level 3,Private Enterprise (Institution)
Koinange Dispensary,Nyandarua,Level 2,Public Institution
AFYALINK MEDICAL LABARATORIES,Kirinyaga,Level 2,Laboratory Technician/Technologist
Gitunduti Medical Clinic,Nyeri,Level 2,Private Practice - Nurse / Midwifery
ACK NGUNI CBHC ANNEX CLINIC,Kitui,Level 2,Christian Health Association of Kenya
Goshen Medical clinic,Nyeri,Level 2,Private Practice - Nurse / Midwifery
Interlink Optical and Care Services,Kirinyaga,Level 3,Private Practice - Clinical Officer
Bwake,Trans Nzoia,Level 2,Ministry of Health
Saboti Medical Clinic,Trans Nzoia,Level 2,Private Practice - Nurse / Midwifery
Chanuka Youth Centre,Trans Nzoia,Level 2,Non-Governmental Organizations
Mercal Health Care Ltd,Trans Nzoia,Level 2,Private Practice - General Practitioner
Aruba,Trans Nzoia,Level 2,Ministry of Health
Dr.Stephen Kamore Wanjohi,Nairobi,Level 2,Private Practice - Medical Specialist
Cheptobot,Trans Nzoia,Level 2,Ministry of Health
GINGO COMMUNITY,Homa Bay,Level 2,Private Practice - Clinical Officer
SINDO MEDICAL CENTRE,Homa Bay,Level 3,Private Practice - Clinical Officer
Kesogon,Trans Nzoia,Level 2,Ministry of Health
Kapsigilai,Trans Nzoia,Level 2,Ministry of Health
KEMRI ALUPE HOSPITAL,Busia,Level 3,Non-Governmental Organizations
KARI TRC HOSPITAL,Busia,Level 3,Non-Governmental Organizations
KARI HOSPTAL,Busia,Level 3,Non-Governmental Organizations
Mutunyi Dispensary,Meru,Level 2,Ministry of Health
Baibariu Dispensary,Meru,Level 2,Ministry of Health
Kayos Dispensary Puiblic,Trans Nzoia,Level 2,Ministry of Health
Kayos Dispensary,Trans Nzoia,Level 2,Ministry of Health
Nyakoigwana Dispensary,Trans Nzoia,Level 2,Ministry of Health
Khalwenge Dispensary,Trans Nzoia,Level 2,Ministry of Health
Matumbei Dispensary,Trans Nzoia,Level 2,Ministry of Health
Twiga Dispensary,Trans Nzoia,Level 2,Ministry of Health
Kapkarwa,Trans Nzoia,Level 2,Ministry of Health
Avenue Health Care Embakasi,Nairobi,Level 3,Private Practice - Unspecified
CENTER VIEW MEDICAL HEALTH CARE,Busia,Level 3,Private Practice - Clinical Officer
Kiptenden,Trans Nzoia,Level 2,Ministry of Health
ST Marys' Health Care,Kilifi,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Benard Vision Medical Center,Homa Bay,Level 2,Company Medical Service
MILIMANI DISPENSARY,Kakamega,Level 2,Ministry of Health
Karaus Disp,Trans Nzoia,Level 2,Ministry of Health
Soy Mining Disp,Trans Nzoia,Level 2,Ministry of Health
Marinda Disp,Trans Nzoia,Level 2,Ministry of Health
Biketi Dispensary,Trans Nzoia,Level 2,Ministry of Health
BUYEMI DISPENSARY,Kakamega,Level 2,Ministry of Health
Kaptain Dispensary,Nyandarua,Level 2,Ministry of Health
Imani Medical Centre(Kitui Central),Kitui,Level 2,Private Practice - Clinical Officer
Alaro community dispensary,Homa Bay,Level 2,Non-Governmental Organizations
Okita Health Center,Homa Bay,Level 2,Non-Governmental Organizations
mawego community medical centre,Homa Bay,Level 2,Non-Governmental Organizations
Ager community dispensary,Homa Bay,Level 2,Non-Governmental Organizations
Kabolet,Trans Nzoia,Level 2,Ministry of Health
Bliss GVS Health care Limited,Nyeri,Level 2,Private Practice - Unspecified
Diamension medical Labolatory,Nyeri,Level 2,Laboratory Technician/Technologist
Transami Clinic,Nairobi,Level 2,Private Practice - Clinical Officer
Makololwe Dispensary,Bungoma,Level 2,Ministry of Health
Namang'ofulo Dispensary,Bungoma,Level 2,Ministry of Health
Tinashe Medical Centre,Embu,Level 2,Private Enterprise (Institution)
Muromutua Dispensary,Meru,Level 2,Ministry of Health
Kilera Dispensary,Meru,Level 2,Ministry of Health
Kairuru Dispensary,Meru,Level 2,Ministry of Health
Namwatikho Dispensary,Bungoma,Level 2,Community
Bukokholo Dispensary,Bungoma,Level 2,Ministry of Health
Chitsanze Dispensary,Kwale,Level 2,Ministry of Health
Nduumoni Dispensary,Makueni,Level 2,Ministry of Health
RADHORE DISPENSARY,Homa Bay,Level 2,Ministry of Health
GAENA,Homa Bay,Level 2,Non-Governmental Organizations
Mwomo Dispensary,Bungoma,Level 2,Ministry of Health
Tupado Drop in Centre,Turkana,Level 2,Non-Governmental Organizations
Kajiado west medical clinic,Kajiado,Level 2,Private Practice - Clinical Officer
Graceheal Health Care,Nakuru,Level 3,Private Practice - Clinical Officer
Otamba Dispensary,Kisii,Level 2,Ministry of Health
St. Jane Medical Clinic,Kilifi,Level 2,Private Practice - Clinical Officer
Kilifi GK Prison VCT,Kilifi,Level 2,Prisons
Mwangaza Gen/Eye Clinic,Nyeri,Level 2,Private Practice - Clinical Officer
KIPASI COMMUNITY HEALTH CENTRE,Homa Bay,Level 2,Non-Governmental Organizations
Kimbo Dispensary,Meru,Level 2,Ministry of Health
LITARE COMMUNITY HEALTH CENTRE,Homa Bay,Level 2,Non-Governmental Organizations
Bamako Dispensary,Taita Taveta,Level 2,Ministry of Health
Rithika Medical And Counselling Centre Kangeta,Meru,Level 2,Private Practice - Nurse / Midwifery
Rithika Medical And Counselling Centre,Meru,Level 2,Private Practice - Nurse / Midwifery
Ubuntu Afya Manyatta,Nyandarua,Level 2,Non-Governmental Organizations
Mwangea Dispensary,Taita Taveta,Level 2,Ministry of Health
Nyaramba Junction Medical Centre,Nyamira,Level 2,Private Practice - Clinical Officer
Buxton Hospital,Mombasa,Level 4,Private Practice - General Practitioner
GATEWAY PEDIATRIC MEDICAL CLINIC,Kirinyaga,Level 2,Private Practice - Clinical Officer
GATAMAIYU BENJAMIN WELLNESS CENTRE,Kiambu,Level 2,Private Practice - Clinical Officer
Linax medical centre,Nakuru,Level 2,Private Practice - Clinical Officer
OptimuM current health care,Nakuru,Level 2,Private Practice - Medical Specialist
CELIPHAM MEDICAL CLINIC,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Elwak Nursing Home,Mandera,Level 2,Private Practice - Nurse / Midwifery
